Indice;Equipo
5;alianza petrolera
17;américa
6;américa de cali
18;argelia
14;arsenal
22;arsenal
5;atlético huila
9;atlético huila
4;atlético nacional
8;atlético nacional
23;atlético nacional
18;atlético de madrid
18;atlético de madrid
19;barcelona
25;barcelona
14;bayern múnich
22;besiktas
14;bolivia
5;boyacá chicó
13;brasil
18;brighton
6;bucaramanga
11;bucaramanga
15;cagliari
17;caldas
5;cali
17;cali
13;catar
4;chacarita junior
9;chicó
18;chile
13;colombia
18;colombia
21;colombia
23;corinthians
5;deportes tolima
5;deportivo pasto
9;deportivo pasto
10;deportivo cali
14;ecuador
18;ecuador
4;emelec
15;empoli
6;equidad
4;equipo bengaluru football club
18;flamengo
7;fortaleza
18;galatasaray
25;holanda
19;inter de milán
15;internacional macedonio
17;junior
15;juventus
18;juventus
25;juventus
24;leicester city
22;liverpool
25;liverpool
4;lobos
4;melgar
19;milán
5;millonarios
17;millonarios
16;mónaco
25;mónaco
4;montpellier
18;nacional
15;nápoles
18;nápoles
22;nápoles
4;palmeiras
23;palmeiras
18;patriotas
18;perú
19;real madrid
18;real madrid
18;real madrid
8;rionegro águila
18;river
18;salzburgo
7;santa fe
17;santa fe
19;sevilla
4;sporting cristal
4;sportivo italiano patronato deportes concepción unión españa
4;tigres
11;tolima
15;torino
12;tottenham
15;udinese
14;west brom
20;zacatecas
